"productKey","brand","model","proposedImageSource","imageMode","rightsStatus","evidenceLocation","verifiedAt"
"ancel-bm700-pro","ANCEL","BM700 Pro","","none","unknown","",""
"autel-ds808s","Autel","DS808S","","none","unknown","",""
"autel-maxisys-ultra-s2","Autel","MaxiSys Ultra S2","","none","unknown","",""
"autel-md909-pro","Autel","MaxiDiag MD909 Pro","","none","unknown","",""
"autel-mk808s","Autel","MK808S","","none","unknown","",""
"autel-mk808s-ts","Autel","MK808S-TS","","none","unknown","",""
"autel-mk900","Autel","MaxiCOM MK900","","none","unknown","",""
"autel-mx900","Autel","MaxiCheck MX900","","none","unknown","",""
"autophix-7910","AUTOPHIX","7910","","none","unknown","",""
"carly-universal-scanner","Carly","Universal Scanner","","none","unknown","",""
"creator-c310-plus","Creator","C310+","","none","unknown","",""
"fluke-88v","Fluke","88V Deluxe Automotive Multimeter","","none","unknown","",""
"foxwell-nt530","Foxwell","NT530","","none","unknown","",""
"foxwell-nt530-plus","Foxwell","NT530 Plus","","none","unknown","",""
"foxwell-nt710","Foxwell","NT710","","none","unknown","",""
"innova-5610","Innova","5610","","none","unknown","",""
"launch-creader-elite-bmw","LAUNCH","Creader Elite BMW","","none","unknown","",""
"launch-creader-elite-x","LAUNCH","Creader Elite X","","none","unknown","",""
"launch-crp919-max","LAUNCH","CRP 919 MAX","","none","unknown","",""
"launch-x431-throttle-v","LAUNCH","X-431 Throttle V","","none","unknown","",""
"mhd-universal-wifi-adapter","MHD Tuning","Universal Wi-Fi Adapter","","none","unknown","",""
"obdlink-cx","OBDLink","CX","/images/products/obdlink-cx-official.jpg","manufacturer_source","manufacturer_attributed_editorial","https://www.obdlink.com/wp-content/uploads/2020/11/0-main_image-202403.jpg","2026-09-12T11:16:39.927Z"
"obdlink-lx","OBDLink","LX","","none","unknown","",""
"obdlink-mx-plus","OBDLink","MX+","","none","unknown","",""
"schumacher-inc100","Schumacher Electric","INC100","","none","unknown","",""
"vlinker-bm-plus","Vgate","vLinker BM+","","none","unknown","",""
"vlinker-mc-plus","Vgate","vLinker MC+","","none","unknown","",""
